Employee_ID,Employment_Type,Hours_Worked_Per_Week,Productivity_Score,Well_Being_Score
1,Remote,29,75,78
2,In-Office,45,49,47
3,Remote,34,74,89
4,Remote,25,81,84
5,Remote,50,70,74
6,In-Office,48,66,58
7,Remote,38,44,76
8,Remote,35,72,90
9,Remote,30,70,89
10,In-Office,40,59,57
11,Remote,40,77,57
12,Remote,31,67,69
13,Remote,37,80,52
14,Remote,42,78,83
15,In-Office,47,76,66
16,Remote,44,81,69
17,In-Office,58,73,68
18,In-Office,37,52,64
19,In-Office,45,58,62
20,Remote,46,83,58
21,In-Office,44,56,54
22,Remote,32,69,57
23,In-Office,44,59,16
24,In-Office,57,75,54
25,In-Office,45,53,85
26,In-Office,56,66,75
27,In-Office,46,51,53
28,In-Office,45,60,56
29,In-Office,44,64,60
30,In-Office,38,57,40
31,Remote,41,49,81
32,Remote,44,71,43
33,In-Office,42,64,44
34,In-Office,41,80,69
35,In-Office,39,49,55
36,Remote,33,80,64
37,In-Office,48,84,72
38,Remote,34,72,66
39,Remote,43,67,70
40,Remote,35,68,56
41,Remote,37,74,75
42,Remote,31,89,61
43,In-Office,55,47,66
44,In-Office,47,57,66
45,In-Office,52,42,67
46,In-Office,30,55,84
47,In-Office,41,53,57
48,Remote,49,53,59
49,In-Office,53,83,58
50,In-Office,37,85,83
51,Remote,39,65,69
52,In-Office,44,68,81
53,Remote,41,62,83
54,In-Office,46,71,81
55,Remote,27,74,64
56,In-Office,35,68,97
57,In-Office,33,64,69
58,Remote,35,73,57
59,Remote,36,65,48
60,Remote,43,86,70
61,Remote,36,87,72
62,Remote,41,71,83
63,Remote,37,77,57
64,Remote,37,65,63
65,Remote,29,62,91
66,In-Office,52,84,41
67,In-Office,45,52,49
68,Remote,28,89,66
69,In-Office,51,71,94
70,In-Office,36,77,77
71,In-Office,39,75,65
72,In-Office,43,56,49
73,Remote,49,75,77
74,In-Office,40,57,76
75,Remote,25,70,70
76,In-Office,45,63,65
77,In-Office,49,72,45
78,In-Office,43,76,73
79,Remote,25,79,50
80,In-Office,45,83,45
81,Remote,29,84,54
82,In-Office,41,70,50
83,Remote,33,83,74
84,In-Office,46,61,65
85,Remote,34,80,65
86,Remote,33,63,69
87,In-Office,40,53,63
88,Remote,36,84,65
89,In-Office,47,70,66
90,In-Office,40,66,65
91,In-Office,45,44,62
92,In-Office,58,61,49
93,In-Office,47,68,77
94,In-Office,37,72,68
95,In-Office,44,68,75
96,In-Office,50,53,72
97,In-Office,44,65,61
98,In-Office,44,76,58
99,In-Office,38,61,62
100,Remote,43,82,61
101,Remote,52,78,82
102,In-Office,44,70,72
103,In-Office,52,75,73
104,In-Office,43,59,64
105,In-Office,50,62,75
106,In-Office,53,55,47
107,In-Office,44,68,52
108,In-Office,53,69,60
109,In-Office,36,51,64
110,Remote,20,87,68
111,In-Office,64,88,57
112,Remote,34,86,87
113,In-Office,35,47,50
114,In-Office,48,69,76
115,Remote,26,47,78
116,In-Office,40,44,62
117,Remote,40,73,65
118,In-Office,44,61,39
119,In-Office,40,70,64
120,Remote,36,63,68
121,In-Office,31,66,81
122,Remote,24,67,73
123,In-Office,52,60,49
124,Remote,21,76,90
125,Remote,36,74,73
126,In-Office,44,56,72
127,In-Office,46,65,45
128,Remote,44,82,64
129,In-Office,51,60,48
130,In-Office,40,47,67
131,In-Office,34,52,28
132,Remote,34,73,66
133,Remote,27,60,74
134,Remote,31,78,61
135,Remote,36,90,75
136,Remote,32,78,67
137,Remote,35,71,68
138,Remote,36,63,59
139,Remote,25,55,57
140,Remote,36,64,75
141,In-Office,45,45,69
142,Remote,40,63,74
143,In-Office,39,65,41
144,In-Office,34,61,58
145,In-Office,42,53,54
146,Remote,36,74,71
147,Remote,30,89,58
148,Remote,38,89,74
149,Remote,33,68,80
150,In-Office,36,55,54
151,Remote,43,79,60
152,Remote,32,67,62
153,Remote,41,58,86
154,Remote,40,88,65
155,Remote,33,57,64
156,In-Office,47,77,43
157,Remote,32,73,56
158,In-Office,48,57,57
159,Remote,31,65,69
160,In-Office,43,61,49
161,Remote,37,94,71
162,Remote,41,58,71
163,In-Office,38,50,48
164,In-Office,52,74,63
165,In-Office,35,63,64
166,Remote,36,52,61
167,In-Office,44,70,27
168,Remote,33,76,78
169,Remote,39,81,62
170,In-Office,33,61,75
171,In-Office,53,72,66
172,Remote,37,68,68
173,Remote,46,63,86
174,In-Office,43,78,38
175,In-Office,48,57,38
176,In-Office,46,75,47
177,Remote,24,73,69
178,Remote,38,86,69
179,Remote,47,77,66
180,Remote,23,71,66
181,Remote,41,80,58
182,Remote,36,83,85
183,In-Office,50,72,60
184,Remote,37,89,56
185,Remote,32,65,73
186,Remote,43,67,46
187,In-Office,42,74,68
188,Remote,37,71,57
189,Remote,38,64,91
190,In-Office,48,59,50
191,Remote,34,72,81
192,Remote,36,66,88
193,Remote,35,84,63
194,Remote,37,78,51
195,Remote,49,90,66
196,In-Office,38,68,61
197,In-Office,47,66,67
198,In-Office,53,70,44
199,Remote,44,94,101
200,Remote,27,77,49
201,Remote,38,68,89
202,In-Office,40,48,52
203,Remote,21,84,49
204,Remote,35,50,66
205,In-Office,54,68,47
206,Remote,34,75,74
207,In-Office,36,70,19
208,In-Office,41,60,69
209,In-Office,45,50,45
210,Remote,36,74,64
211,Remote,31,83,64
212,Remote,34,101,55
213,Remote,22,84,63
214,Remote,32,65,67
215,Remote,46,84,78
216,Remote,25,61,41
217,In-Office,40,74,67
218,Remote,33,74,63
219,In-Office,46,72,35
220,Remote,37,86,65
221,Remote,39,108,68
222,Remote,37,66,71
223,In-Office,47,66,44
224,In-Office,46,79,66
225,In-Office,50,62,71
226,In-Office,46,55,64
227,Remote,28,67,71
228,In-Office,46,53,75
229,Remote,39,66,54
230,Remote,33,69,71
231,In-Office,42,44,54
232,In-Office,43,71,49
233,In-Office,55,45,79
234,In-Office,43,73,61
235,In-Office,51,61,43
236,In-Office,53,63,63
237,In-Office,52,54,68
238,In-Office,41,63,61
239,Remote,24,65,83
240,In-Office,50,64,63
241,In-Office,43,78,56
242,Remote,36,88,62
243,In-Office,54,49,84
244,Remote,32,72,51
245,Remote,31,62,63
246,In-Office,44,74,63
247,Remote,37,61,61
248,Remote,47,66,86
249,Remote,33,75,80
250,Remote,43,73,66
251,In-Office,44,68,73
252,Remote,35,82,86
253,In-Office,47,68,37
254,Remote,16,79,69
255,Remote,31,77,69
256,Remote,42,76,62
257,Remote,41,72,75
258,In-Office,42,58,61
259,In-Office,45,69,55
260,Remote,22,69,77
261,Remote,32,72,79
262,In-Office,40,49,57
263,Remote,31,63,68
264,Remote,38,74,73
265,Remote,47,70,72
266,In-Office,41,56,51
267,In-Office,42,68,95
268,In-Office,40,60,59
269,Remote,37,78,82
270,Remote,18,46,65
271,In-Office,51,49,14
272,In-Office,48,67,43
273,In-Office,39,55,61
274,In-Office,41,69,17
275,Remote,29,61,67
276,In-Office,41,72,32
277,Remote,35,81,88
278,In-Office,42,68,32
279,Remote,18,85,69
280,In-Office,52,51,67
281,In-Office,56,69,64
282,In-Office,45,49,80
283,In-Office,41,70,36
284,Remote,26,92,66
285,In-Office,53,64,32
286,Remote,41,67,76
287,Remote,35,56,71
288,Remote,50,80,69
289,Remote,42,77,72
290,In-Office,38,67,75
291,Remote,29,92,69
292,Remote,28,86,67
293,Remote,40,71,69
294,In-Office,47,67,30
295,In-Office,38,74,58
296,In-Office,41,51,43
297,In-Office,32,63,51
298,Remote,28,74,73
